Split ratio    Model              Train Accuracy     Test Accuracy
-------------  -----------------  -----------------  ------------------
0.2            Descison tree      100.0              78.13765182186235
0.2            Random Forest      100.0              78.94736842105263
0.2            KNN                85.16260162601627  77.7327935222672
0.2            AdaBoost           77.23577235772358  70.8502024291498
0.2            Gaussian NB        62.70325203252033  55.87044534412956
0.2            SVM                73.98373983739837  70.8502024291498
0.2            Gradient Boosting  95.630081300813    76.51821862348179
0.2            MLP                83.23170731707317  79.35222672064778
-------------  -------------      -------------      -------------
0.3            Descison tree      100.0              74.5945945945946
0.3            Random Forest      100.0              80.27027027027027
0.3            KNN                84.90127758420442  77.83783783783784
0.3            AdaBoost           78.62950058072009  72.16216216216216
0.3            Gaussian NB        62.7177700348432   59.72972972972973
0.3            SVM                73.98373983739837  71.89189189189189
0.3            Gradient Boosting  96.16724738675958  77.56756756756756
0.3            MLP                86.06271777003485  80.0
-------------  -------------      -------------      -------------
0.4            Descison tree      100.0              72.81947261663286
0.4            Random Forest      100.0              79.3103448275862
0.4            KNN                85.77235772357723  78.09330628803245
0.4            AdaBoost           81.43631436314364  73.83367139959432
0.4            Gaussian NB        61.24661246612466  58.41784989858012
0.4            SVM                73.98373983739837  70.58823529411765
0.4            Gradient Boosting  97.01897018970189  77.68762677484787
0.4            MLP                85.63685636856368  76.67342799188641
-------------  -------------      -------------      -------------
0.5            Descison tree      100.0              71.1038961038961
0.5            Random Forest      99.83739837398375  78.8961038961039
0.5            KNN                85.85365853658537  77.1103896103896
0.5            AdaBoost           83.73983739837398  72.72727272727273
0.5            Gaussian NB        59.18699186991871  56.006493506493506
0.5            SVM                75.1219512195122   71.9155844155844
0.5            Gradient Boosting  98.86178861788618  77.43506493506493
0.5            MLP                82.27642276422765  75.16233766233766
-------------  -------------      -------------      -------------
0.6            Descison tree      100.0              71.31258457374831
0.6            Random Forest      100.0              79.29634641407307
0.6            KNN                83.33333333333334  76.99594046008119
0.6            AdaBoost           75.0               69.68876860622463
0.6            Gaussian NB        57.3170731707317   53.044654939106906
0.6            SVM                74.1869918699187   71.98917456021651
0.6            Gradient Boosting  99.1869918699187   77.67253044654939
0.6            MLP                86.3821138211382   76.86062246278755
-------------  -------------      -------------      -------------
