Split ratio    Model              Train Accuracy     Test Accuracy
-------------  -----------------  -----------------  -----------------
0.2            Descison tree      100.0              97.89500380420999
0.2            Random Forest      100.0              99.16307380167385
0.2            KNN                90.25240994419077  84.96068983007862
0.2            AdaBoost           71.98756976154237  71.54450925691098
0.2            Gaussian NB        68.5882800608828   67.23307126553387
0.2            SVM                74.54337899543378  73.34516865330967
0.2            Gradient Boosting  85.48959918822932  84.09840223180319
0.2            MLP                79.07153729071538  76.61678924676643
-------------  -------------      -------------      -------------
0.3            Descison tree      100.0              97.98782549881638
0.3            Random Forest      100.0              98.95164017585391
0.3            KNN                89.59918822932521  84.34223875549543
0.3            AdaBoost           71.63876204972095  70.79810618870476
0.3            Gaussian NB        68.64535768645358  67.17957389245858
0.3            SVM                74.64666231789519  73.40209671964828
0.3            Gradient Boosting  85.51134304558961  83.97024010821778
0.3            MLP                79.510038414148    77.54480892796754
-------------  -------------      -------------      -------------
0.4            Descison tree      100.0              97.72986683576411
0.4            Random Forest      100.0              98.84590995561192
0.4            KNN                89.31168611533909  83.90615091946735
0.4            AdaBoost           69.17808219178082  69.0424857324033
0.4            Gaussian NB        68.18873668188736  67.43183259353202
0.4            SVM                74.34466429900219  73.98858592263792
0.4            Gradient Boosting  85.71790969051243  84.45149017121116
0.4            MLP                78.83477084390327  77.47622067216233
-------------  -------------      -------------      -------------
0.5            Descison tree      100.0              96.90543831168831
0.5            Random Forest      100.0              98.4476461038961
0.5            KNN                88.52359208523592  83.21834415584416
0.5            AdaBoost           70.35007610350075  70.49512987012987
0.5            Gaussian NB        67.96549974632167  67.50202922077922
0.5            SVM                74.26686960933536  73.92451298701299
0.5            Gradient Boosting  85.15474378488076  83.97930194805194
0.5            MLP                78.81278538812785  77.23214285714286
-------------  -------------      -------------      -------------
0.6            Descison tree      100.0              96.89693075166991
0.6            Random Forest      100.0              98.0130210535216
0.6            KNN                88.07711821410452  82.58222710746597
0.6            AdaBoost           71.51192288178589  71.97091401031538
0.6            Gaussian NB        67.376966007103    67.32899298215946
0.6            SVM                74.08675799086758  73.88179589075844
0.6            Gradient Boosting  85.32470826991376  84.42546715143317
0.6            MLP                77.72704211060375  76.44373044728164
-------------  -------------      -------------      -------------
