Split ratio    Model              Train Accuracy     Test Accuracy
-------------  -----------------  -----------------  ------------------
0.2            Descison tree      100.0              96.55300222386953
0.2            Random Forest      100.0              98.18383988139362
0.2            KNN                88.04911955514365  81.30096367679764
0.2            AdaBoost           65.95922150139018  65.7709414381023
0.2            Gaussian NB        63.69786839666358  63.862120088954775
0.2            SVM                69.61075069508804  69.45885841363973
0.2            Gradient Boosting  81.68211306765524  80.57820607857671
0.2            MLP                74.62001853568118  72.75759822090437
-------------  -------------      -------------      -------------
0.3            Descison tree      100.0              95.62584949956752
0.3            Random Forest      100.0              97.82528110712961
0.3            KNN                87.65026743631839  81.00827875942173
0.3            AdaBoost           63.30561881057035  63.90708019275917
0.3            Gaussian NB        63.71868876767463  63.59817125911281
0.3            SVM                69.47518932373033  69.61571728654393
0.3            Gradient Boosting  81.71371074511465  80.48931175089584
0.3            MLP                73.01276280252078  71.6298035339182
-------------  -------------      -------------      -------------
0.4            Descison tree      100.0              95.6445185802984
0.4            Random Forest      100.0              97.60911871003614
0.4            KNN                87.34012974976831  80.11305717727735
0.4            AdaBoost           62.39728143342601  62.52432582707812
0.4            Gaussian NB        63.69477911646586  63.766101380780285
0.4            SVM                69.60766141489033  69.13168381058289
0.4            Gradient Boosting  82.01421068890949  80.10379019553332
0.4            MLP                71.38090824837813  70.04911500324344
-------------  -------------      -------------      -------------
0.5            Descison tree      100.0              94.9658956109134
0.5            Random Forest      100.0              96.9306049822064
0.5            KNN                86.91429418742585  79.30011862396204
0.5            AdaBoost           62.64827995255041  62.4629300118624
0.5            Gaussian NB        63.4267497034401   64.19780545670226
0.5            SVM                69.33570581257415  69.32829181494662
0.5            Gradient Boosting  82.51779359430606  80.53084223013049
0.5            MLP                74.43653618030842  72.87959667852907
-------------  -------------      -------------      -------------
0.6            Descison tree      100.0              92.74064005931052
0.6            Random Forest      100.0              95.36018781663167
0.6            KNN                86.01482854494903  78.51229457555912
0.6            AdaBoost           64.70806302131604  64.3889781292475
0.6            Gaussian NB        63.20667284522706  64.3210181638453
0.6            SVM                69.0917516218721   69.05968120598047
0.6            Gradient Boosting  82.02965708989805  80.00741381440751
0.6            MLP                72.63206672845227  71.79043617941431
-------------  -------------      -------------      -------------
