Split ratio    Model              Train Accuracy     Test Accuracy
-------------  -----------------  -----------------  -----------------
0.2            Descison tree      92.451343836886    65.14084507042254
0.2            Random Forest      92.451343836886    68.05040770941439
0.2            KNN                78.18350324374421  68.55077835433654
0.2            AdaBoost           67.19184430027804  66.27131208302445
0.2            Gaussian NB        65.7321594068582   65.99332839140104
0.2            SVM                67.67840593141798  67.67976278724981
0.2            Gradient Boosting  70.9082483781279   70.23721275018532
0.2            MLP                68.08619091751622  67.88361749444033
-------------  -------------      -------------      -------------
0.3            Descison tree      93.06783879680137  64.94501420981095
0.3            Random Forest      93.06783879680137  68.75077227233412
0.3            KNN                78.29264417730234  68.60249598418386
0.3            AdaBoost           67.16623417889107  66.94674409983938
0.3            Gaussian NB        65.64634856749457  65.97059186951687
0.3            SVM                67.5475295239104   67.84875818608674
0.3            Gradient Boosting  70.95270878568024  70.3570987272952
0.3            MLP                68.08769792935443  67.91053997281601
-------------  -------------      -------------      -------------
0.4            Descison tree      93.58665430954588  64.20164952275044
0.4            Random Forest      93.58047574915045  67.92697618385691
0.4            KNN                78.25764596848934  68.15865072745807
0.4            AdaBoost           68.10009267840593  67.73236956723196
0.4            Gaussian NB        65.63484708063021  65.81410434621444
0.4            SVM                67.71084337349397  67.40802520619035
0.4            Gradient Boosting  71.19555143651529  70.09544991196367
0.4            MLP                67.85912882298425  67.52849596886294
-------------  -------------      -------------      -------------
0.5            Descison tree      94.2541518386714   64.32384341637011
0.5            Random Forest      94.2541518386714   68.06791221826809
0.5            KNN                78.1731909845789   68.31998813760379
0.5            AdaBoost           67.46737841043891  67.28944246737841
0.5            Gaussian NB        65.54715302491103  66.073546856465
0.5            SVM                67.60083036773428  67.63790035587188
0.5            Gradient Boosting  71.16696322657177  70.26245551601423
0.5            MLP                67.31909845788849  66.54804270462633
-------------  -------------      -------------      -------------
0.6            Descison tree      94.98609823911028  64.03682194489065
0.6            Random Forest      94.98609823911028  68.35536883726677
0.6            KNN                78.00741427247452  68.97936488323242
0.6            AdaBoost           66.39481000926783  66.28567898183616
0.6            Gaussian NB        65.48656163113994  66.04473001359199
0.6            SVM                67.32159406858203  67.61398739651551
0.6            Gradient Boosting  71.67747914735867  70.30767329791178
0.6            MLP                68.12789620018536  67.68812554059063
-------------  -------------      -------------      -------------
