Split ratio    Model              Train Accuracy     Test Accuracy
-------------  -----------------  -----------------  -----------------
0.2            Descison tree      100.0              100.0
0.2            Random Forest      100.0              100.0
0.2            KNN                100.0              100.0
0.2            AdaBoost           88.17903037383178  87.93808411214953
0.2            Gaussian NB        84.7838785046729   85.16355140186917
0.2            SVM                88.71933411214953  88.5806074766355
0.2            Gradient Boosting  94.84521028037383  94.45093457943925
0.2            MLP                88.1206191588785   88.17172897196261
-------------  -------------      -------------      -------------
0.3            Descison tree      100.0              100.0
0.3            Random Forest      100.0              100.0
0.3            KNN                100.0              100.0
0.3            AdaBoost           87.40821094793057  87.32476635514018
0.3            Gaussian NB        84.77970627503338  85.04672897196261
0.3            SVM                88.66822429906543  88.74610591900311
0.3            Gradient Boosting  94.75967957276369  94.47040498442367
0.3            MLP                87.27469959946596  87.32476635514018
-------------  -------------      -------------      -------------
0.4            Descison tree      100.0              100.0
0.4            Random Forest      100.0              100.0
0.4            KNN                100.0              100.0
0.4            AdaBoost           87.37344236760126  87.39778037383178
0.4            Gaussian NB        85.00778816199377  85.10514018691589
0.4            SVM                88.41510903426791  88.4053738317757
0.4            Gradient Boosting  95.60942367601245  94.9036214953271
0.4            MLP                87.84073208722741  87.86507009345794
-------------  -------------      -------------      -------------
0.5            Descison tree      100.0              100.0
0.5            Random Forest      100.0              100.0
0.5            KNN                99.9766355140187   99.83644859813084
0.5            AdaBoost           88.36448598130842  88.27102803738318
0.5            Gaussian NB        84.5911214953271   84.94158878504673
0.5            SVM                88.48130841121495  88.52803738317758
0.5            Gradient Boosting  94.83644859813084  94.50934579439252
0.5            MLP                87.79205607476635  87.9088785046729
-------------  -------------      -------------      -------------
0.6            Descison tree      100.0              100.0
0.6            Random Forest      100.0              100.0
0.6            KNN                99.94158878504673  99.72741433021807
0.6            AdaBoost           87.9818925233645   88.38590342679127
0.6            Gaussian NB        84.46261682242991  84.96884735202492
0.6            SVM                88.02570093457945  88.35669781931465
0.6            Gradient Boosting  95.6483644859813   94.80140186915888
0.6            MLP                87.47079439252336  87.94781931464173
-------------  -------------      -------------      -------------
