Split ratio    Model              Train Accuracy     Test Accuracy
-------------  -----------------  -----------------  -----------------
0.2            Descison tree      100.0              98.14861780370276
0.2            Random Forest      100.0              99.28988080142024
0.2            KNN                91.29249112125825  86.35556682728887
0.2            AdaBoost           71.98756976154237  71.54450925691098
0.2            Gaussian NB        68.5882800608828   67.23307126553387
0.2            SVM                74.60679857940133  73.47197565305605
0.2            Gradient Boosting  85.48959918822932  84.09840223180319
0.2            MLP                80.1052765093861   78.03702764392595
-------------  -------------      -------------      -------------
0.3            Descison tree      100.0              98.05546161650321
0.3            Random Forest      100.0              99.05309435238418
0.3            KNN                90.62839747771254  85.79641528576259
0.3            AdaBoost           71.63876204972095  70.79810618870476
0.3            Gaussian NB        68.64535768645358  67.17957389245858
0.3            SVM                74.69015003261579  73.53736895502199
0.3            Gradient Boosting  85.51134304558961  83.97024010821778
0.3            MLP                79.90867579908677  78.33953331078796
-------------  -------------      -------------      -------------
0.4            Descison tree      100.0              97.61572606214331
0.4            Random Forest      100.0              98.8839568801522
0.4            KNN                90.16573651276848  85.0856055802156
0.4            AdaBoost           69.17808219178082  69.0424857324033
0.4            Gaussian NB        68.18873668188736  67.43183259353202
0.4            SVM                74.41231185523422  74.05199746353837
0.4            Gradient Boosting  85.71790969051243  84.45149017121116
0.4            MLP                78.9277862337223   77.48890298034242
-------------  -------------      -------------      -------------
0.5            Descison tree      100.0              96.875
0.5            Random Forest      100.0              98.30560064935064
0.5            KNN                89.46727549467276  84.35470779220779
0.5            AdaBoost           70.35007610350075  70.49512987012987
0.5            Gaussian NB        67.96549974632167  67.50202922077922
0.5            SVM                74.39878234398782  74.07670454545455
0.5            Gradient Boosting  85.15474378488076  83.97930194805194
0.5            MLP                79.68543886352106  78.33806818181817
-------------  -------------      -------------      -------------
0.6            Descison tree      100.0              96.98148304726473
0.6            Random Forest      100.0              97.90310306924833
0.6            KNN                88.87620497209538  83.59685465460387
0.6            AdaBoost           71.51192288178589  71.97091401031538
0.6            Gaussian NB        67.376966007103    67.32899298215946
0.6            SVM                74.25164890918316  73.96634818635326
0.6            Gradient Boosting  85.32470826991376  84.40855669231419
0.6            MLP                78.12024353120243  77.59364166737127
-------------  -------------      -------------      -------------
