Split ratio    Model              Train Accuracy     Test Accuracy
-------------  -----------------  -----------------  ------------------
0.2            Descison tree      100.0              57.14285714285714
0.2            Random Forest      100.0              65.71428571428571
0.2            KNN                78.85304659498208  64.28571428571429
0.2            AdaBoost           79.21146953405018  59.285714285714285
0.2            Gaussian NB        71.32616487455196  62.857142857142854
0.2            SVM                73.65591397849462  64.28571428571429
0.2            Gradient Boosting  98.38709677419355  67.85714285714286
0.2            MLP                79.39068100358423  67.85714285714286
-------------  -------------      -------------      -------------
0.3            Descison tree      100.0              58.0952380952381
0.3            Random Forest      100.0              68.0952380952381
0.3            KNN                79.30327868852459  66.66666666666666
0.3            AdaBoost           80.73770491803278  61.904761904761905
0.3            Gaussian NB        71.51639344262296  65.23809523809524
0.3            SVM                74.18032786885246  65.71428571428571
0.3            Gradient Boosting  98.5655737704918   67.61904761904762
0.3            MLP                79.09836065573771  69.04761904761905
-------------  -------------      -------------      -------------
0.4            Descison tree      100.0              58.57142857142858
0.4            Random Forest      100.0              70.0
0.4            KNN                79.66507177033493  67.5
0.4            AdaBoost           79.66507177033493  64.64285714285715
0.4            Gaussian NB        70.09569377990431  69.28571428571428
0.4            SVM                73.68421052631578  69.28571428571428
0.4            Gradient Boosting  99.52153110047847  67.5
0.4            MLP                79.42583732057416  70.71428571428572
-------------  -------------      -------------      -------------
0.5            Descison tree      100.0              66.189111747851
0.5            Random Forest      100.0              69.05444126074498
0.5            KNN                79.65616045845272  69.62750716332378
0.5            AdaBoost           77.65042979942693  60.74498567335244
0.5            Gaussian NB        70.20057306590259  69.05444126074498
0.5            SVM                73.92550143266476  68.19484240687679
0.5            Gradient Boosting  100.0              69.62750716332378
0.5            MLP                83.66762177650429  68.76790830945558
-------------  -------------      -------------      -------------
0.6            Descison tree      100.0              63.24582338902148
0.6            Random Forest      100.0              69.4510739856802
0.6            KNN                80.64516129032258  68.4964200477327
0.6            AdaBoost           79.21146953405018  62.76849642004774
0.6            Gaussian NB        72.04301075268818  67.30310262529832
0.6            SVM                75.62724014336918  67.78042959427208
0.6            Gradient Boosting  100.0              67.5417661097852
0.6            MLP                84.22939068100358  69.92840095465394
-------------  -------------      -------------      -------------
